id,user_id,content,image_url,state,scheduled_datetime,created_at,updated_at
00ff1d4c-ab4d-4124-b284-d7d2ec0643d4,ef437f47-040e-410b-a1b9-84004b850c8f,"Procesos y eficiencia:
https://seths.blog/2025/01/building-a-process-culture/",,borrador,,2025-02-02 07:33:16.6002+00,2025-02-02 07:33:16.6002+00
05b41066-12fc-4ccb-b50c-3ebea52875d0,ef437f47-040e-410b-a1b9-84004b850c8f,"""🎯 La estrategia NO es un to-do list gigante
(Y te explico por qué nos liamos tanto con esto)
¿Has visto esas pelís donde el protagonista tiene un mapa del tesoro súper detallado... y acaba perdido en medio de la nada? 😅 Pues con la estrategia empresarial nos pasa algo parecido.

❌ Lo que NO es estrategia:
La lista de la compra de marketing
El Excel infinito de Finanzas
El planning de IT que da miedo mirarlo
Básicamente, cualquier documento que empiece por """"Vamos a hacer...""""

✅ Lo que SÍ es estrategia:
Tu posición en el mercado (dónde te plantas)
Tu propuesta única (qué te hace especial)
La vista desde helicóptero de tu negocio (sí, como en las pelis 🚁)

💡 La clave está en entender que:
""""Lo que pasa FUERA es estrategia, lo que pasa DENTRO son acciones""""
Es como cuando decides ir a un restaurante:

La estrategia es elegir """"comida italiana de calidad""""
Las acciones son comprar los ingredientes, cocinar, servir...

🎯 Tip Pro: Si quieres saber si algo es estratégico, hazte esta pregunta:
""""¿Esto define QUIÉNES SOMOS o solo QUÉ HACEMOS?""""
🤔 ¿Por qué nos cuesta tanto?
Porque es más fácil hacer listas que pensar en grande. Es como cuando haces una lista gigante de propósitos de año nuevo en vez de definir qué tipo de persona quieres ser 😅
La próxima vez que alguien te diga """"necesitamos un plan estratégico"""", pregúntale: """"¿Quieres saber qué vamos a hacer o quiénes queremos ser?""""
¿Te ha pasado que en tu empresa todo es """"estratégico""""? ¡Cuéntame tu experiencia en los comentarios! 👇
#Estrategia #Liderazgo #Management #Innovation #BusinessStrategy #Empresa""

https://hbr.org/2024/08/keep-strategy-simple

",,borrador,,2025-01-08 05:17:11.093215+00,2025-01-08 05:17:11.093215+00
06baea16-c74c-455a-923a-236ca44c5e06,ef437f47-040e-410b-a1b9-84004b850c8f,"IMAGEN 22
¿Cómo se deben priorizar los proyectos de innovación? 🤔
Te voy a contar algo que seguramente NO estás haciendo bien (y no pasa nada, casi nadie lo hace).

La realidad es que la mayoría de empresas eligen sus proyectos de innovación por consenso o por ""feeling"" del jefe. ¿El resultado? Nos quedamos siempre con lo seguro, con la innovación incremental... y así no se cambia el mundo (ni se consiguen ventajas diferenciales, por ser menos ambiciosos 😅).

Hay 4 métodos principales que REALMENTE funcionan según el contexto 👇

1️⃣ Decisión del Jefe
Funciona mejor de lo que piensas... PERO solo para proyectos familiares donde ya tenemos experiencia. Si quieres hacer algo disruptivo, mejor busca otra opción 🎯

2️⃣ Puntuación 👉 Cada miembro del equipo de decisión asigna una puntuación (por ejemplo del 1-5) a cada proyecto.
El método estrella para PYMES con foco muy definido, donde todos entienden de todo lo que hace la empresa. Ojo, si tu empresa está muy diversificada, esto puede ser un dolor de cabeza 📊

3️⃣ Ranking 👉 Los decisores ordenan los proyectos en orden de prioridad.
El método más robusto para entornos complejos. Si tienes poco presupuesto y muchas ideas innovadoras que evaluar, este es tu método 🏆

4️⃣ Votación 👉 Los decisores votan únicamente Sí/No a cada proyecto.
¿Tienes cientos de personas opinando? Entonces sí, vota. Pero si sois un grupo pequeño... mejor ni lo intentes 🗳️

La clave está en elegir el método según TU contexto:
Tamaño de empresa
Número de propuestas
Presupuesto disponible
Diversificación del negocio

¿Qué método utilizas en tu empresa? ¡Cuéntame en los comentarios! 😉

#Innovación #Estrategia #Liderazgo",,planificado,2025-03-06 07:00:00+00,2025-02-17 05:12:11.901931+00,2025-03-02 07:15:18.049323+00
07ef11c7-0966-47b8-bc95-2945e02aeffb,ef437f47-040e-410b-a1b9-84004b850c8f,"Tras varios meses, he (hemos, que igual me matan) terminado el proyecto más difícil (e importante) al que me he enfrentado. Y no, no tiene nada que ver con Transformación Digital ni con IA (aunque parezca mentira 😅).

Nos hemos embarcado en la apasionante aventura de reformar una casa (¡NUESTRA CASA! 🎉) y ha sido una experiencia alucinante, pero que podría haber sido un auténtico desastre (como me advirtió TODO el mundo 😱) si no llega a ser por el liderazgo de Marta 💪.

Algunos aprendizajes clave de esta odisea:

Digitalización en la construcción 🧱
Es un sector MUY poco digitalizado, por su naturaleza física. ¿Será que realmente no lo necesita tanto?
Con un lápiz y un láser se ""proyecta"" una casa. 
Lo más digital fueron los renders que nos hicieron Silvia y Raquel para que yo, el analfabeto de la construcción 🙈, pudiera visualizar algo antes de meternos en semejante follón.

El ojo experto 🧐
Cada cosa que se me ocurría que había que hacer, Marta ya la había pensado, solucionado ¡y con 7 posibles problemas alternativos que a mí ni se me habían pasado por la cabeza!  Impresionante.

Gestión de imprevistos 🚧
¿Cuántas cosas pueden salir mal en un solo día? Algo que se rompe, un material que no llega, una viga que aparece de la nada, bajantes inexistentes... ¡Hay que tener una cintura increíble en este mundillo!

El idioma de la construcción 🗣️
Casi más ""palabreishons"" que en el mundo IT: tabicas, retranqueos, mochetas, luminarias, perfiles, cosas que van ""a eje"" o ""a más ganar""... ¡Te vuelven loco! 😂

Vamos, que como en todo en la vida, lo mejor es contar con un experto para no meter la gamba, más aún en un proyecto clave.

",,planificado,2025-02-25 07:00:00+00,2025-01-20 18:11:38.921896+00,2025-02-25 07:10:18.369312+00
083fced9-8ed7-4de9-a0af-ef2d3d51e584,ef437f47-040e-410b-a1b9-84004b850c8f,"🚨 Europa anuncia 200.000 millones para competir en IA 🇪🇺
No son suficientes ni de cerca, y además tienen MUCHA TRAMPA. Te cuento 👇

La UE acaba de anunciar 200.000M€ para impulsar la IA europea. Suena brutal, ¿verdad? Pero cuando rascas un poco... la cosa cambia 🤔
Vamos a desgranar esto, porque hay mucho humo 👇

1️⃣ La realidad de los números
150.000M€ vienen de inversión privada de una iniciativa llamada EU AI Champions
Solo 50.000M€ son fondos públicos
De esos 50.000M€, únicamente 20.000M€ irán a las ""AI Gigafactories""

2️⃣ ¿Qué son estas famosas Gigafactories?
Centros con 100.000 chips de última generación para entrenar modelos de IA. La idea es que cualquier empresa pueda acceder a ellos, no solo los gigantes tech.
Suena bien, pero teniendo en cuenta que los modelos más actuales (salvo que Deepseek realmente haya cambiado el panorama) ya estaban usando cientos de miles de chips... ¿es suficiente?

3️⃣ La perspectiva es importante:
EEUU: Stargate anuncia 500.000M$ (¡solo en infraestructura!)
China: Inversión masiva estatal
UE: 50.000M€ públicos (y a repartir en diferentes iniciativas)

4️⃣ Lo más preocupante:
Von der Leyen dice que ""necesitamos al sector privado totalmente involucrado"". Traducción: ""No tenemos músculo suficiente, necesitamos que las empresas pongan la pasta"" 💸

Mi opinión: Europa sigue con su estrategia de siempre...
- Regular primero (AI Act)
- Invertir después
- Depender de que el privado complete

¿El resultado? Mientras EEUU y China corren, nosotros seguimos decidiendo el color de los cordones 🏃‍♂️
La pregunta del millón: ¿Podemos permitirnos ir tan despacio?

PD: Esto NO es una crítica a la colaboración público-privada, pienso que ese aspecto es clave. Solo que lo estamos haciendo regulinchi 😂",,planificado,2025-02-12 07:00:00+00,2025-02-12 04:38:34.478585+00,2025-02-12 04:38:34.478585+00
0b095fd4-9737-43fa-a659-9c43b60cb259,ef437f47-040e-410b-a1b9-84004b850c8f,"¡Felices fiestas, y muy feliz 2026 a todos!
Un año más, la IA me ayuda con la felicitación navideña, pero comparado con los últimos 3 años, ha sido más fácil y rápido que nunca y con un resultado mucho mejor. 
¿Será ""más rápido y mejor"" el resumen de lo que la IA puede hacer por nosotros y del grado de avance de la tecnología? 😅

",,planificado,2025-12-18 23:00:00+00,2025-12-16 04:38:59.46158+00,2025-12-19 02:47:51.458284+00
0db59082-8ab4-4e2e-bb79-e1cf7e2e690b,ef437f47-040e-410b-a1b9-84004b850c8f,"La IA 𝐧𝐨 𝐬𝐢𝐞𝐦𝐩𝐫𝐞 𝐭𝐞 𝐚𝐡𝐨𝐫𝐫𝐚 𝐭𝐢𝐞𝐦𝐩𝐨
A veces sí.

Pero en tareas con riesgo (cliente, legal, finanzas, datos), aparece el ""impuesto de verificación"": el tiempo que te lleva revisar el resultado porque el error puede ser sutil… y caro.

Lo peor no es cuando falla a lo bestia.
Lo peor es cuando casi acierta.

Una lógica rápida para afrontar esto:
- Si la tarea es de bajo valor (por ejemplo redactar un correo sencillo) y te va a llevar más revisarlo que hacerlo, hazlo tú.
- Si la tarea es de alto valor, aunque la IA lo haga rápido y el impuesto de verificación te lleve el mismo tiempo que hacerlo tú a mano, seguramente la calidad del entregable será mucho mayor.",,planificado,2026-01-13 23:00:00+00,2026-01-14 05:46:11.031203+00,2026-01-14 05:46:11.031203+00
0fb699bc-cad0-4259-9ee5-2bdbb237fdea,ef437f47-040e-410b-a1b9-84004b850c8f,"Codex 5.3, modelo IA que se ha auto mejorado.

",,planificado,2026-02-05 23:00:00+00,2026-02-06 05:31:35.466033+00,2026-02-06 05:31:35.466033+00
0fd790a3-3e83-4064-a205-f7cbeeaa1d77,ef437f47-040e-410b-a1b9-84004b850c8f,"esto sería un mal post, salvo porque es la leche",,eliminado,,2025-03-04 19:41:26.296681+00,2025-03-04 19:42:26.564047+00
109b4614-6b81-438c-89c3-5c07ec4fe0a1,ef437f47-040e-410b-a1b9-84004b850c8f,"IMAGEN 3

""🚀 Transformación Digital: ¿Negar, Rendirse, Controlar o Responder? 🤔
En cada proceso de cambio dentro de una empresa, el mayor riego de fracaso no es la tecnología... son las personas. 

Todos los empleados juegan un papel clave en una Transformación, pero especialmente el comité de dirección. 👥

He visto cuatro actitudes típicas cuando se habla de Transformación Digital, y seguro que reconoces alguna:

1️⃣ Negación:
""""Este cambio digital es una moda pasajera, ¿verdad?"""" 😅
👉 Aquí es donde se aplica aquello de """"ojos que no ven, tsunami que te arrastra"""". Si te tapas los ojos y sigues con tu día a día, puede que el cambio no te golpee hoy... pero seguro que lo hará mañana.

2️⃣ Rendición:
""""Esto es demasiado complicado, mejor seguimos como estamos."""" 😵‍💫
👉 Esta actitud es la de tirar la toalla antes de siquiera salir al campo. Lo curioso es que esta parálisis viene más del miedo al error que de la dificultad real. Spoiler: hacer nada también tiene consecuencias.

3️⃣ Control:
""""Vamos a implementar esto sí o sí. Y el que no esté de acuerdo, que se adapte."""" 😤
👉 Querer forzar el cambio a toda costa es como ponerle una puerta al mar: quizás funcione un rato, pero la marea siempre encuentra su camino. El equipo puede cumplir, pero no va a comprometerse de verdad.

4️⃣ Responder:
""""Vale, esto es real. ¿Qué recursos tenemos para adaptarnos y sacarle partido? ¿Cómo lo aplicamos de manera lógica?"""" 💡
👉 Esta actitud no es magia, es pura resiliencia. Aceptar el cambio no significa tener todas las respuestas, sino estar dispuesto a encontrarlas juntos. Aquí es donde el comité de dirección realmente marca la diferencia: no se trata de liderar desde el control, sino desde la adaptación y el apoyo.

📈 Conclusión:
Negar, rendirse o querer controlarlo todo es quedarse en la zona de confort... hasta que la realidad te da una bofetada. 🙃
Responder con inteligencia, aceptar lo que viene y buscar oportunidades en lugar de problemas es lo que realmente impulsa el cambio.

#TransformaciónDigital #Liderazgo #Cambio #CulturaEmpresarial #Mindset""
",,eliminado,,2025-01-08 05:15:35.686764+00,2025-02-28 06:42:41.986536+00
